Variable_Code,Description,Min_Value,Max_Value,Unknown_Value,Data_Type,Allowed_Values,Source_File,Line,Field
ASTN,"Run name or run number. Since ASTN will be the name used for the output files generated for each run, ASTN must be a unique ID for each run so that the output files are not written over.",,,,text,,EPICRUN.DAT,1,1
ISIT,Site ID number. Must be one of the sites listed in the SITECOM.DAT file.,,,,integer,,EPICRUN.DAT,1,2
IWP1,"Monthly weather station ID number. Must be one of the stations included in the WPM1US.DAT file. If set to zero, EPIC will use the latitude and longitude from WPM1USEL.DAT to choose the closest weather station to the simulated area (latitude and longitude from sitefile.SIT).",,,0,integer,,EPICRUN.DAT,1,3
IWP5,Alternate catalog of monthly weather stations for use with the southern oscillation coefficients in WIDX0810.DAT. Set IWP5 to zero for not using this feature.,,,0,integer,,EPICRUN.DAT,1,4
IWND,"Wind station ID number. Must be one of the stations included in the WINDUSEL.DAT file. If set to zero, EPIC will use the latitude and longitude from WNDUSEL.DAT to choose the closest weather station to the simulated area (latitude and longitude from sitefile.SIT).",,,0,integer,,EPICRUN.DAT,1,5
INPS,Soil ID number. Must be one of the soils included in the SOILCOM.DAT file.,,,,integer,,EPICRUN.DAT,1,6
IOPS,Operation schedule ID number. Must be one of the operation schedules included in OPSCCOM.DAT file. Field Variable name Description,,,,integer,,EPICRUN.DAT,1,7
IWTH,"Daily weather station ID number. Must be one of the stations included in the WDLSTCOM.DAT file. If set to zero, EPIC will use the latitude and longitude from WDLSTCOM.DAT to choose the closest weather station to the simulated area (latitude and longitude from sitefile.SIT). 9 (optional) XKN5 Michaelis-Menten NO3- reduction constant. If a value is provided here, this will overwrite the value read from the PARM1102.DAT file (see section on PARM1102.DAT for details). 10 (optional) XKN3 Michaelis-Menten NO2- reduction constant. If a value is provided here, this will overwrite the value read from the PARM1102.DAT file (see section on PARM1102.DAT for details). 11 (optional) XKN1 Michaelis-Menten N2O reduction constant. If a value is provided here, this will overwrite the value read from the PARM1102.DAT file (see section on PARM1102.DAT for details). 12 (optional) CBVT Cumulative proportion of the BioVolume of spherical and cylindrical organisms. If a value is provided here, this will overwrite the value read from the PARM1102.DAT file (see section on PARM1102.DAT for details).",,,0,integer,,EPICRUN.DAT,1,8
XKN5,"Michaelis-Menten NO3- reduction constant. If a value is provided here, this will overwrite the value read from the PARM1102.DAT file (see section on PARM1102.DAT for details).",,,,integer,,EPICRUN.DAT,1,9
XKN3,"Michaelis-Menten NO2- reduction constant. If a value is provided here, this will overwrite the value read from the PARM1102.DAT file (see section on PARM1102.DAT for details).",,,,integer,,EPICRUN.DAT,1,10
