Variable_Code,Description
ASTN,"Run name or run number. Since ASTN will be the name used for the output files generated for each run, ASTN must be a unique ID for each run so that the output files are not written over."
ISIT,"Site ID number. Must be one of the sites listed in the SITECOM.DAT file"
IWP1,"Monthly weather station ID number. Must be one of the stations included in the WPM1US.DAT file. If set to zero, EPIC will use the latitude and longitude from WPM1USEL.DAT to choose the closest weather station to the simulated area (latitude and longitude from sitefile.SIT)"
IWP5,"Alternate catalog of monthly weather stations for use with the southern oscillation coefficients in WIDX0810.DAT. Set IWP5 to zero for not using this feature"
IWND,"Wind station ID number. Must be one of the stations included in the WINDUSEL.DAT file. If set to zero, EPIC will use the latitude and longitude from WNDUSEL.DAT to choose the closest weather station to the simulated area (latitude and longitude from sitefile.SIT)"
INPS,"Soil ID number. Must be one of the soils included in the SOILCOM.DAT file"
IOPS,"Operation schedule ID number. Must be one of the operation schedules included in OPSCCOM.DAT file"
IWTH,"Daily weather station ID number. Must be one of the stations included in the WDLSTCOM.DAT file. If set to zero, EPIC will use the latitude and longitude from WDLSTCOM.DAT to choose the closest weather station to the simulated area (latitude and longitude from sitefile.SIT)"
NBYR,"Number of Years for Simulation Duration: The number of years can be any number from 1 to hundreds of years; however, 20 to 30 years may be adequate to estimate frequency distributions used to solve many problems.(Range: 1 to 999)"
IYR0,"Beginning Year of Simulation: If the starting year is before the first year of the historical weather data, ALLweather will be generated. Once the model starts generating weather, it continues until the end of the simulation. For example, if the historical weather data begins on Jan. 1, 1960, and the simulation begins on Jan. 1, 1956, then all the weather will be generated starting on Jan. 1, 1956, to the end of the simulation period.If the simulation period starts on a year included in the historical weather file, but the weather data does not extend for the complete simulation period, weather will be generated from the point the historical weather data ends to the end of the simulation period. For example, if the historical weather data begins on Jan. 1, 1960, and extends to Dec. 31, 2000, and the simulation period is from Jan. 1, 1996, to Dec. 31, 2005, then generated weather will be used beginning Jan. 1, 2001, and continue to the end of the simulation period (Dec. 31, 2005).(Range: 1880 to 9999)"
IMO0,"Beginning Month of Simulation: Most long-term simulations start on January 1. Starting after January 1 may be convenient for simulating systems where data are only recorded during the growing season.(Range: 1 to 12)"
IDA0,"Beginning Day of Simulation: Most long-term simulations start on January 1. Starting after January 1 may be convenient for simulating systems where data are only recorded during the growing season.(Range: 1 to 31)"
IPD,"Print Code for Type of Output: The print code (IPD) allows the user to print daily, monthly, or annual output, with or without printing tables describing soil conditions printed in the General Output File (OUT). Annual printouts minimize output volume and may be useful for some long-term simulations. Monthly outputs enable the user to evaluate model performance within the growing season or to examine seasonality of runoff, erosion, and other processes more closely than with annual printouts. Monthly outputs are normally obtained in short-term (1-10 year) simulations and are particularly useful in model testing. Daily outputs are also useful for model testing and for comparison with detailed experimental data. To obtain the desired type of output, IPD can be set to values from 0 to 9, as described below. Allowed values: N0 for annual watershed output , N1 for annual printout , N2 for annual with soil table , N3 for monthly , N4 for monthly with soil table , N5 for monthly with soil table at harvest , N6 for n day interval , N7 for soil table only n day interval , N8 for n day interval, rainfall days only , N9 for n day interval during growing season , For IPD 0 to 5, N = 0 prints management operation, N = 1 prevent printing management operation, For IPD 6 to 9, N = days interval to prints output in the OUT file. Management operations always printed"
NGN,"Input Code for Weather Variables: EPIC can read one or more daily weather variables from an external file specified by the user. The weather input code, NGN, specifies which variables will be read; all others will be generated by APEX’s stochastic weather data generator.If NGN is not set to zero, precipitation is read from the external file designated in the EPICRUN.DAT file. In addition to precipitation, any combination of the other daily weather variables can be read. The integers 1 through 5 are used to identify specific weather inputs that must be read from the selected daily weather file, as follows: 1 Precipitation , 2 Maximum and minimum temperatures , 3 Solar radiation , 4 Average wind speed , 5 Average relative humidity , If any daily weather variables are input, precipitation must also be input. Thus, it is not necessary to specify ID=1 unless rain is the only input variable , Example values of NGN are given below. NGN=0: Generate all weather variables (spatially distributed). NGN=1: Read precipitation; generate other variables. NGN=2: Read maximum and minimum temperatures and precipitation; generate other variables. NGN=3: Read solar radiation and precipitation; generate other variables. NGN=4: Read wind speed and precipitation; generate other variables. NGN=5: Read relative humidity and precipitation; generate other variables. NGN=23: Read maximum and minimum temperatures, solar radiation, and precipitation; generate wind speed and relative humidity. NGN=2345: Read all weather variables. NOTE: If weather data is not available for selected parameters, weather data is automatically generated. The model will use all available data for the selected parameters and generate when data for those select parameters is missing"
IGN,"Number of Times Random Number Generator Cycles Before Simulations Starts: The random number generator is used to generate stochastically a series of daily weather data for input into other components of APEX. By changing IGN, the user can alter the sequence of generated weather data without changing its long-term statistical properties. Default setting: 0 (Range: 0 to 100) In some situations, a user may wish to vary the weather sequence between runs. This is done by setting IGN to a different number each time the model is run. Setting IGN to a value greater than zero will activate a random number generator, which will replace the default set of random numbers with a new set. The value to which IGN is set determines the number of times the random number generator cycles before the simulation begins. The seeds produced by the random number generator are then used by the weather generator instead of the default values. Historical weather data read into the model is not affected by this variable. However, if the historical weather data contains missing data, the weather generator will be used to generate data to replace the missing data. The generated data used to replace the missing data is affected by this variable.If IGN and the monthly weather statistics are not changed, successive simulations will have identical weather sequences"
IGS0,"Day Weather Generator Stops Generating Daily Weather: This variable is used for real time simulations. When IGS0 is a negative integer, it indicates the total number of whole and partial years of input weather data. Normally, only a partial year (January 1 to planting date, for example) of measured weather data are used, thus IGS0 = -1. To estimate 20 alternative yield possibilities using input weather data for only part of a year, set NBYR to 20 and IGS0 to -1.(Range: -N to 366) 0 Normal operation of weather model N Duplicate weather in a given year up to date n -N Rewinds weather after n years 366 Gives a rough estimate of the average yield with only two years of simulation. IGS0 can also be used to simulate yield where the same weather data set is used many times. For example, if IGS0 is set to -3, this tells the model to reuse the three years of input weather data then rewind and use it again multiple times until NBYR is met"
LPYR,"Leap Year Considered: Allowed values: 0 Leap year is considered , 1 Leap year is ignored. Tells the model to expect only 365 days of input weather data and generate only 365 days of weather ignoring February 29th. ATTENTION: In this case, February 29th must be deleted from the weather input file"
IET,"Potential Evapotranspiration Equation Approach: This field enables the user to choose which equation will be used to estimate the potential evapotranspiration (PET).Allowed values: 0 *(default) Hargreaves , 1 *Penman-Monteith (usually for windy conditions). Adds a logarithmic eddy diffusion function and canopy resistance to the Penman equations. This option works best when measure data for all the weather variables are available , 2 *Penman. Adds relative humidity, wind speed, and elevation of wind measurements to the required weather inputs. This option works best when measure data for all the weather variables are available , 3 Priestley-Taylor. Requires radiation, as well as temperature as an input , 4 Hargreaves. Has two parameters which can be adjusted to calibrate the model for factors such as proximity to a major water body , 5 Baier-Robertson. Developed in cold environment, * Requires the entry of elevation (ELEV), monthly mean wind velocities(WVL). These equations also need relative humidity; however, if relative humidity is blank, EPIC will estimate relative humidity. Dew point can also be used"
ISCN,"Stochastic CN Estimator Code: The final step in EPIC’s estimation of runoff volume is an attempt to account for uncertainty. The runoff retention parameter or curve number is based on land use, management, hydrologic soil group, land slope, soil water content and distribution. It is also adjusted for frozen soil. However, many natural processes and management factors that can affect runoff are not accounted for in the model. EPIC enables the user to use either a deterministic or a stochastic method of estimating CN. If the deterministic method is chosen, the curve number is adjusted daily for soil water content (and frozen soil). If the stochastic method is chosen, the deterministic value is varied stochastically on a daily basis using a triangular distribution. The extremes of the distribution are +/- 5 curve numbers from the mean.Allowed values, 0 Stochastic curve number estimator (default), 1 Rigid curve number estimator (Deterministic)"
